	Site Name	Type	Billing Address	Billing City	Billing State/Province	Billing Zip/Postal Code	Grant	# Full Time Slots	# Three Quarter Time Slots	# Half Time Slots	# Reduced Half Time Slots	# Quarter-Time Slots	# Minimum Time Slots	# Abbreviated Time Slots	full_address	googleMaps_lat_long	googleMaps_clean_address
103	Lake Dallas Middle School	Education-K thru 12	325 E Hundley Dr.	Lake Dallas	TX	75065-2629	21-22 Communities In Schools of North Texas ACTX					1			325 E Hundley Dr., Lake Dallas, TX 75065-2629	(33.1234987, -97.0258185)	325 E Hundley Dr, Lake Dallas, TX 75065, USA
104	Lake Dallas High School	Education-K thru 12	3016 Parkridge Dr.	Corinth	TX	76210-2228	21-22 Communities In Schools of North Texas ACTX					1			3016 Parkridge Dr., Corinth, TX 76210-2228	(33.1330061, -97.0617763)	3016 Parkridge Dr, Corinth, TX 76210, USA
105	Degan Elementary School	Education-K thru 12	1680 College Parkway	Lewisville	TX	75077-2708	21-22 Communities In Schools of North Texas ACTX					1			1680 College Parkway, Lewisville, TX 75077-2708	(33.0478006, -97.03953709999999)	1680 College Pkwy, Lewisville, TX 75077, USA
106	Mill Street Elementary School	Education-K thru 12	601 S Mill St.	Lewisville	TX	75057-3969	21-22 Communities In Schools of North Texas ACTX					1			601 S Mill St., Lewisville, TX 75057-3969	(33.0411614, -96.9941511)	601 S Mill St, Lewisville, TX 75057, USA
107	Parkway Elementary School	Education-K thru 12	2100 S Valley Parkway	Lewisville	TX	75067-7498	21-22 Communities In Schools of North Texas ACTX					1			2100 S Valley Parkway, Lewisville, TX 75067-7498	(33.0089161, -97.0206953)	2100 S Valley Pkwy, Lewisville, TX 75067, USA
108	Peters Colony Elementary School	Education-K thru 12	5101 Nash Dr.	The Colony	TX	75056-1700	21-22 Communities In Schools of North Texas ACTX					1			5101 Nash Dr., The Colony, TX 75056-1700	(33.093392, -96.8804229)	5101 Nash Dr, The Colony, TX 75056, USA
109	Rockbrook Elementary School	Education-K thru 12	2751 Rockbrook Dr.	Lewisville	TX	75067-4150	21-22 Communities In Schools of North Texas ACTX					1			2751 Rockbrook Dr., Lewisville, TX 75067-4150	(32.9959672, -96.97860109999999)	2751 Rockbrook Dr, Lewisville, TX 75067, USA
110	Camey Elementary School 	Education-K thru 12	4949 Arbor Glen Rd	The Colony	TX	75056	21-22 Communities In Schools of North Texas ACTX					1			4949 Arbor Glen Rd, The Colony, TX 75056	(33.0774456, -96.8865934)	4949 Arbor Glen Rd, The Colony, TX 75056, USA
111	Ethridge Elementary School	Education-K thru 12	6001 Ethridge Dr	The Colony	TX	75056	21-22 Communities In Schools of North Texas ACTX					1			6001 Ethridge Dr, The Colony, TX 75056	(33.089545, -96.91023299999999)	6001 Ethridge Dr, The Colony, TX 75056, USA
112	Vickery Elementary School	Education-K thru 12	3301 Wager Rd.	Flower Mound	TX	75028-1405	21-22 Communities In Schools of North Texas ACTX					1			3301 Wager Rd., Flower Mound, TX 75028-1405	(33.0320349, -97.03971)	3301 Wager Rd, Flower Mound, TX 75028, USA
113	Durham Middle School	Education-K thru 12	2075 S Edmoonds Ln	Lewisville	TX	75067-6155	21-22 Communities In Schools of North Texas ACTX					1			2075 S Edmoonds Ln, Lewisville, TX 75067-6155	(33.0117123, -97.0036487)	2075 Edmonds Ln, Lewisville, TX 75067, USA
114	Hedrick Middle School	Education-K thru 12	1526 Bellaire Blvd.	Lewisville	TX	75067-4901	21-22 Communities In Schools of North Texas ACTX					9			1526 Bellaire Blvd., Lewisville, TX 75067-4901	(33.0270871, -97.0259865)	1526 Bellaire Blvd, Lewisville, TX 75067, USA
115	Lewisville Harmon High School	Education-K thru 12	1250 W Round Grove Rd.	Lewisville	TX	75067-7914	21-22 Communities In Schools of North Texas ACTX					1			1250 W Round Grove Rd., Lewisville, TX 75067-7914	(33.0073084, -97.0258236)	1250 W Round Grove Rd, Lewisville, TX 75067, USA
116	Lewisville Killough High School	Education-K thru 12	1301 Summit Ave.	Lewisville	TX	75077-2511	21-22 Communities In Schools of North Texas ACTX					1			1301 Summit Ave., Lewisville, TX 75077-2511	(33.0612681, -97.0187531)	1301 N Summit Ave, Lewisville, TX 75067, USA
117	Lewisville High School	Education-K thru 12	1098 W Main St.	Lewisville	TX	75067-3518	21-22 Communities In Schools of North Texas ACTX					1			1098 W Main St., Lewisville, TX 75067-3518	(33.0400183, -97.0193582)	1098 W Main St, Lewisville, TX 75067, USA
118	Little Elm High School	Education-K thru 12	1900 Walker Ln.	Little Elm	TX	75068-6924	21-22 Communities In Schools of North Texas ACTX					1			1900 Walker Ln., Little Elm, TX 75068-6924	(33.1832879, -96.90556939999999)	1900 Walker Ln, Little Elm, TX 75068, USA
119	Clara Love Elementary School	Education-K thru 12	16301 Elementary Dr.	Justin	TX	76247-5785	21-22 Communities In Schools of North Texas ACTX					1			16301 Elementary Dr., Justin, TX 76247-5785	(33.0391287, -97.3242118)	16301 Elementary Dr, Justin, TX 76247, USA
120	Prairie View Elementary School	Education-K thru 12	609 FM 3433	Rhome	TX	76078-5407	21-22 Communities In Schools of North Texas ACTX					1			609 FM 3433, Rhome, TX 76078-5407	(33.0125878, -97.4859112)	FM3433, Aurora, TX 76078, USA
121	Seven Hills Elementary School	Education-K thru 12	654 FM 3433	Newark	TX	76071-5431	21-22 Communities In Schools of North Texas ACTX					1			654 FM 3433, Newark, TX 76071-5431	(33.0195853, -97.4872511)	654 FM3433, Newark, TX 76071, USA
122	Chisholm Trail Middle School	Education-K thru 12	583 FM 3433	Rhome	TX	76078-5401	21-22 Communities In Schools of North Texas ACTX					1			583 FM 3433, Rhome, TX 76078-5401	(33.0125878, -97.4859112)	FM3433, Aurora, TX 76078, USA
123	Pike Middle School	Education-K thru 12	2200 Texan Dr.	Justin	TX	76247-8792	21-22 Communities In Schools of North Texas ACTX					1			2200 Texan Dr., Justin, TX 76247-8792	(33.026422, -97.317567)	2200 Texan Dr, Justin, TX 76247, USA
124	Griffen Middle School	Education-K thru 12	5105 N Colony Blvd	The Colony	TX	75056	21-22 Communities In Schools of North Texas ACTX					1			5105 N Colony Blvd, The Colony, TX 75056	(33.0969645, -96.88119859999999)	5105 N Colony Blvd, The Colony, TX 75056, USA
125	Huffins Middle School 	Education-K thru 12	1440 N Valley Pkwy 	Lewisville	TX	75077	21-22 Communities In Schools of North Texas ACTX					1			1440 N Valley Pkwy, Lewisville, TX 75077	(33.0551943, -97.03306309999999)	1440 N Valley Pkwy, Lewisville, TX 75077, USA
126	Northwest High School	Education-K thru 12	2301 Texan Dr.	Justin	TX	76247-8793	21-22 Communities In Schools of North Texas ACTX					1			2301 Texan Dr., Justin, TX 76247-8793	(33.0268328, -97.3136896)	2301 Texan Dr, Justin, TX 76247, USA
127	Beacon Hill Academy	Education-K thru 12	1411 W Ashby Pl	San Antonio	TX	78201-6337	21-22 Communities In Schools of San Antonio ACTX					2			1411 W Ashby Pl, San Antonio, TX 78201-6337	(29.4499657, -98.514521)	1411 W Ashby Pl, San Antonio, TX 78201, USA
128	Burbank High School	Education-K thru 12	1002 Edwards St	San Antonio	TX	78204-2698	21-22 Communities In Schools of San Antonio ACTX					2			1002 Edwards St, San Antonio, TX 78204-2698	(29.3928838, -98.5092028)	1002 Edwards, San Antonio, TX 78204, USA
129	Cable Elementary School	Education-K thru 12	1706 Pinn Rd	San Antonio	TX	78227-2907	21-22 Communities In Schools of San Antonio ACTX						2		1706 Pinn Rd, San Antonio, TX 78227-2907	(29.4142903, -98.62259569999999)	1706 Pinn Rd, San Antonio, TX 78227, USA
130	Camelot Elementary School	Education-K thru 12	7410 Ray Bon Dr	San Antonio	TX	78218-2840	21-22 Communities In Schools of San Antonio ACTX					0.25			7410 Ray Bon Dr, San Antonio, TX 78218-2840	(29.5006393, -98.3872724)	7410 Ray Bon Dr, San Antonio, TX 78218, USA
131	Candlewood Elementary School	Education-K thru 12	3635 Candleglenn	San Antonio	TX	78244-2100	21-22 Communities In Schools of San Antonio ACTX						2		3635 Candleglenn, San Antonio, TX 78244-2100	(29.4580076, -98.36831099999999)	3635 Candleglenn, San Antonio, TX 78244, USA
132	Carvajal Early Childhood Campus	Education-K thru 12	225 Arizona	San Antonio	TX	78207-6411	21-22 Communities In Schools of San Antonio ACTX					3			225 Arizona, San Antonio, TX 78207-6411	(29.413541, -98.5415038)	225 Arizona, San Antonio, TX 78207, USA
133	CAST STEM High School	Education-K thru 12	4495 SW Verano Pkwy	Von Ormy	TX	78073-4331	21-22 Communities In Schools of San Antonio ACTX					2			4495 SW Verano Pkwy, Von Ormy, TX 78073-4331	(29.2928695, -98.588211)	4495 Verano Pkwy, Von Ormy, TX 78073, USA
134	Charles C. Ball Academy	Education-K thru 12	343 Koehler Ct	San Antonio	TX	78223	21-22 Communities In Schools of San Antonio ACTX						1		343 Koehler Ct, San Antonio, TX 78223	(29.3672951, -98.46079859999999)	343 Koehler Ct, San Antonio, TX 78223, USA
135	Chavez Excel Academy	Education-K thru 12	11937 IH 10 W	San Antonio	TX	78230	21-22 Communities In Schools of San Antonio ACTX					0.25			11937 IH 10 W, San Antonio, TX 78230	(29.6557786, -98.6255196)	W I-10, San Antonio, TX 78257, USA
136	Churchill High School	Education-K thru 12	12049 Blanco Rd	San Antonio	TX	78216 -2411	21-22 Communities In Schools of San Antonio ACTX					2			12049 Blanco Rd, San Antonio, TX 78216 -2411	(29.548924, -98.51427)	12049 Blanco Rd, San Antonio, TX 78216, USA
137	Colonial Hills Elementary School 	Education-K thru 12	2627 Kerrybrook Ct	San Antonio	TX	78230- 4534	21-22 Communities In Schools of San Antonio ACTX					3			2627 Kerrybrook Ct, San Antonio, TX 78230- 4534	(29.5166143, -98.5368058)	2627 Kerrybrook Ct, San Antonio, TX 78230, USA
138	Converse Elementary School	Education-K thru 12	6720 FM 1516	Converse	TX	78109 -1399	21-22 Communities In Schools of San Antonio ACTX						1		6720 FM 1516, Converse, TX 78109 -1399	(29.4914935, -98.3081811)	6720 Farm to Market 1516, Converse, TX 78109, USA
139	Cooper Academy	Education-K thru 12	1700 Tampico	San Antonio	TX	78207 -0000	21-22 Communities In Schools of San Antonio ACTX					0.5			1700 Tampico, San Antonio, TX 78207 -0000	(29.4147472, -98.52481540000001)	1700 Tampico St, San Antonio, TX 78207, USA
140	David Crockett Academy	Education-K thru 12	2215 Morales St	San Antonio	TX	78207-2599	21-22 Communities In Schools of San Antonio ACTX						1		2215 Morales St, San Antonio, TX 78207-2599	(29.4334765, -98.525373)	2215 Morales St, San Antonio, TX 78207, USA
141	East Central High School	Education-K thru 12	7173 FM 1628	San Antonio	TX	78263-9620	21-22 Communities In Schools of San Antonio ACTX					0.5			7173 FM 1628, San Antonio, TX 78263-9620	(29.3523288, -98.2964684)	7173 FM1628, San Antonio, TX 78263, USA
142	East Central CAST LEAD High School	Education-K thru 12	7284 FM 1628	San Antonio	TX	78263-9620	21-22 Communities In Schools of San Antonio ACTX					0.5			7284 FM 1628, San Antonio, TX 78263-9620	(29.3512119, -98.29417459999999)	7284 FM1628, Adkins, TX 78101, USA
143	Ed White Middle School	Education-K thru 12	7800 Midcrown Dr	San Antonio	TX	78218-2322	21-22 Communities In Schools of San Antonio ACTX					0.5	1		7800 Midcrown Dr, San Antonio, TX 78218-2322	(29.5056595, -98.379859)	7800 Midcrown Dr, San Antonio, TX 78218, USA
144	E. H. Gilbert Elementary School	Education-K thru 12	931 E Southcross	San Antonio	TX	78214	21-22 Communities In Schools of San Antonio ACTX					0.5			931 E Southcross, San Antonio, TX 78214	(29.3700764, -98.4857042)	931 E Southcross, San Antonio, TX 78214, USA
145	Glenoaks Elementary School	Education-K thru 12	5103 Newcome Dr	San Antonio	TX	78229-4924	21-22 Communities In Schools of San Antonio ACTX					1	1		5103 Newcome Dr, San Antonio, TX 78229-4924	(29.4956495, -98.585366)	5103 Newcome Dr, San Antonio, TX 78229, USA
146	Harlendale Middle School	Education-K thru 12	300 W Huff Ave	San Antonio	TX	78214	21-22 Communities In Schools of San Antonio ACTX						1		300 W Huff Ave, San Antonio, TX 78214	(29.36382799999999, -98.4987632)	300 W Huff Ave, San Antonio, TX 78214, USA
147	Highlands High School	Education-K thru 12	3118 Elgin Ave	San Antonio	TX	78210-5599	21-22 Communities In Schools of San Antonio ACTX					0.25			3118 Elgin Ave, San Antonio, TX 78210-5599	(29.3882158, -98.44258549999999)	3118 Elgin Ave, San Antonio, TX 78210, USA
148	Hobby Middle School	Education-K thru 12	11843 Vance Jackson Rd	San Antonio	TX	78230	21-22 Communities In Schools of San Antonio ACTX						1		11843 Vance Jackson Rd, San Antonio, TX 78230	(29.5513038, -98.5713076)	11843 Vance Jackson Rd, San Antonio, TX 78230, USA
149	Holmes High School	Education-K thru 12	6500 Ingram Rd	San Antonio	TX	78238-3932	21-22 Communities In Schools of San Antonio ACTX					1.5			6500 Ingram Rd, San Antonio, TX 78238-3932	(29.4638712, -98.6162016)	6500 Ingram Rd, San Antonio, TX 78238, USA
150	Hot Wells Middle School	Education-K thru 12	400 Hot Wells Blvd.	San Antonio	TX	78223	21-22 Communities In Schools of San Antonio ACTX					2			400 Hot Wells Blvd., San Antonio, TX 78223	(29.3676732, -98.46264160000001)	400 Hot Wells Blvd, San Antonio, TX 78223, USA
151	Jefferson High School	Education-K thru 12	723 Donaldson Ave	San Antonio	TX	78201-4897	21-22 Communities In Schools of San Antonio ACTX					2			723 Donaldson Ave, San Antonio, TX 78201-4897	(29.4659605, -98.5399056)	723 Donaldson Ave, San Antonio, TX 78201, USA
152	Jones Middle School	Education-K thru 12	1256 Pinn Rd	San Antonio	TX	78227 -1899	21-22 Communities In Schools of San Antonio ACTX						1		1256 Pinn Rd, San Antonio, TX 78227 -1899	(29.4223558, -98.62311120000001)	1256 Pinn Rd, San Antonio, TX 78227, USA
153	Karen Wagner High School	Education-K thru 12	3000 N Foster Rd	San Antonio	TX	78244-1135	21-22 Communities In Schools of San Antonio ACTX					2			3000 N Foster Rd, San Antonio, TX 78244-1135	(29.4566422, -98.3569359)	3000 N Foster Rd, San Antonio, TX 78244, USA
154	Kirby Middle School	Education-K thru 12	5441 Seguin Rd	San Antonio	TX	78219 -1097	21-22 Communities In Schools of San Antonio ACTX					0.25			5441 Seguin Rd, San Antonio, TX 78219 -1097	(29.4694787, -98.38734869999999)	5441 Old Seguin Rd, Kirby, TX 78219, USA
155	Lanier High School	Education-K thru 12	1514 W Cesar E Chavez Blvd	San Antonio	TX	78207-3992	21-22 Communities In Schools of San Antonio ACTX					2			1514 W Cesar E Chavez Blvd, San Antonio, TX 78207-3992	(29.4223059, -98.5172595)	1514 W César E Chávez Blvd, San Antonio, TX 78207, USA
156	Lee High School	Education-K thru 12	1400 Jackson Keller Rd.	San Antonio	TX	78213- 3206	21-22 Communities In Schools of San Antonio ACTX					1	1		1400 Jackson Keller Rd., San Antonio, TX 78213- 3206	(29.5065173, -98.51512149999999)	1400 Jackson Keller Rd, San Antonio, TX 78213, USA
157	Legacy Middle School	Education-K thru 12	5903 South East Loop 410	San Antonio	TX	78263 -9701	21-22 Communities In Schools of San Antonio ACTX					2			5903 South East Loop 410, San Antonio, TX 78263 -9701	(29.365714, -98.3997484)	5903 SE Loop 410 Acc Rd, San Antonio, TX 78222, USA
158	Longfellow Middle School	Education-K thru 12	1130 East Sunshine Dr	San Antonio	TX	78228 -2999	21-22 Communities In Schools of San Antonio ACTX					2			1130 East Sunshine Dr, San Antonio, TX 78228 -2999	(29.4732844, -98.56326)	1130 E Sunshine Dr, San Antonio, TX 78228, USA
159	Madison High School	Education-K thru 12	5005 Stahl Rd	San Antonio	TX	78247 -1799	21-22 Communities In Schools of San Antonio ACTX					1			5005 Stahl Rd, San Antonio, TX 78247 -1799	(29.5848083, -98.3920639)	5005 Stahl Rd, San Antonio, TX 78247, USA
160	Margil Academy	Education-K thru 12	1000 Perez St	San Antonio	TX	78207-2334	21-22 Communities In Schools of San Antonio ACTX					2			1000 Perez St, San Antonio, TX 78207-2334	(29.4328893, -98.5141781)	1000 Perez St, San Antonio, TX 78207, USA
161	Martin Elementary School	Education-K thru 12	730 Canterbury Dr	San Antonio	TX	78228-6500	21-22 Communities In Schools of San Antonio ACTX					1	1		730 Canterbury Dr, San Antonio, TX 78228-6500	(29.4427482, -98.5986331)	730 Canterbury Dr, San Antonio, TX 78228, USA
162	McDermott Elementary School	Education-K thru 12	5111 USAA Blvd	San Antonio	TX	78240-5010	21-22 Communities In Schools of San Antonio ACTX					2			5111 USAA Blvd, San Antonio, TX 78240-5010	(29.534711, -98.5842069)	5111 Usaa Blvd, San Antonio, TX 78240, USA
163	Meadow Village Elementary School	Education-K thru 12	1406 Meadow Way Dr	San Antonio	TX	78227-1658	21-22 Communities In Schools of San Antonio ACTX						2		1406 Meadow Way Dr, San Antonio, TX 78227-1658	(29.423129, -98.64272109999999)	1406 Meadow Way Dr, San Antonio, TX 78227, USA
164	Memorial High School	Education-K thru 12	1227 Memorial St	San Antonio	TX	78228	21-22 Communities In Schools of San Antonio ACTX					2			1227 Memorial St, San Antonio, TX 78228	(29.446713, -98.5644188)	1227 Memorial St, San Antonio, TX 78228, USA
165	Montgomery Elementary School	Education-K thru 12	7047 Montgomery Dr	San Antonio	TX	78239-3322	21-22 Communities In Schools of San Antonio ACTX						2		7047 Montgomery Dr, San Antonio, TX 78239-3322	(29.5117557, -98.3498742)	7047 Montgomery Dr, San Antonio, TX 78239, USA
166	P F Stewart Elementary School	Education-K thru 12	1950 Rigsby Ave	San Antonio	TX	78210 -4433	21-22 Communities In Schools of San Antonio ACTX						2		1950 Rigsby Ave, San Antonio, TX 78210 -4433	(29.3973953, -98.4320024)	1950 Rigsby Ave, San Antonio, TX 78210, USA
167	Park Village Elementary School	Education-K thru 12	5855 East Midcrown Dr	San Antonio	TX	78218 -4199	21-22 Communities In Schools of San Antonio ACTX					1	1		5855 East Midcrown Dr, San Antonio, TX 78218 -4199	(29.4915022, -98.3707189)	5855 Midcrown Dr, San Antonio, TX 78218, USA
168	Passmore Elementary	Education-K thru 12	570 Pinn Rd	San Antonio	TX	78227-1234	21-22 Communities In Schools of San Antonio ACTX					1	1		570 Pinn Rd, San Antonio, TX 78227-1234	(29.4303921, -98.6226816)	570 Pinn Rd, San Antonio, TX 78227, USA
169	Poe Middle School	Education-K thru 12	814 Aransas Ave	San Antonio	TX	78210-2212	21-22 Communities In Schools of San Antonio ACTX						1		814 Aransas Ave, San Antonio, TX 78210-2212	(29.4075024, -98.4615956)	814 Aransas Ave, San Antonio, TX 78210, USA
170	Sam Houston High School	Education-K thru 12	635 E Houston St	San Antonio	TX	78220- 2325	21-22 Communities In Schools of San Antonio ACTX					2			635 E Houston St, San Antonio, TX 78220- 2325	(29.4270551, -98.4862607)	635 E Houston St, San Antonio, TX 78205, USA
171	Schenck Elementary School	Education-K thru 12	101 Kate Schenck Ave	San Antonio	TX	78223-3305	21-22 Communities In Schools of San Antonio ACTX					2			101 Kate Schenck Ave, San Antonio, TX 78223-3305	(29.3618381, -98.4361155)	101 Kate Schenck Ave, San Antonio, TX 78223, USA
172	Southwest High School	Education-K thru 12	11690 Dragon Ln	San Antonio	TX	78252-2647	21-22 Communities In Schools of San Antonio ACTX					1			11690 Dragon Ln, San Antonio, TX 78252-2647	(29.307749, -98.6742427)	11690 Dragon Ln, San Antonio, TX 78252, USA
173	Southwest Legacy High School	Education-K thru 12	4495 SW Verano Parkway	Von Ormy	TX	78073-4331	21-22 Communities In Schools of San Antonio ACTX					1			4495 SW Verano Parkway, Von Ormy, TX 78073-4331	(29.2928695, -98.588211)	4495 Verano Pkwy, Von Ormy, TX 78073, USA
174	Tafolla Middle School	Education-K thru 12	1303 W. Ceasar E. Chavez Blvd	San Antonio	TX	78207- 3935	21-22 Communities In Schools of San Antonio ACTX					1			1303 W. Ceasar E. Chavez Blvd, San Antonio, TX 78207- 3935	(29.42285669999999, -98.51203339999999)	1303 W César E Chávez Blvd, San Antonio, TX 78207, USA
175	Terrell Wells Middle School	Education-K thru 12	422 W Hutchins Pl	San Antonio	TX	78221-2798	21-22 Communities In Schools of San Antonio ACTX					0.5			422 W Hutchins Pl, San Antonio, TX 78221-2798	(29.344506, -98.5099962)	422 W Hutchins Pl, San Antonio, TX 78221, USA
176	Travis Early College High School	Education-K thru 12	1915 N Main Ave	San Antonio	TX	78212	21-22 Communities In Schools of San Antonio ACTX					1.5			1915 N Main Ave, San Antonio, TX 78212	(29.4473113, -98.4948369)	1915 N Main Ave, San Antonio, TX 78212, USA
177	Villarreal Elementary School	Education-K thru 12	2902 White Tail Rd	San Antonio	TX	78228-2749	21-22 Communities In Schools of San Antonio ACTX					1			2902 White Tail Rd, San Antonio, TX 78228-2749	(29.4647569, -98.5890795)	2902 White Tail Dr, San Antonio, TX 78228, USA
178	Walzem Elementary School	Education-K thru 12	4618 Walzem Rd	San Antonio	TX	78218-1609	21-22 Communities In Schools of San Antonio ACTX						1		4618 Walzem Rd, San Antonio, TX 78218-1609	(29.5095983, -98.40116169999999)	4618 Walzem Rd, San Antonio, TX 78218, USA
179	Westwood Terrace Elementary School	Education-K thru 12	2315 Hackamore Ln	San Antonio	TX	 78227-2747	21-22 Communities In Schools of San Antonio ACTX					2			2315 Hackamore Ln, San Antonio, TX 78227-2747	(29.4087371, -98.6402079)	2315 Hackamore Ln, San Antonio, TX 78227, USA
180	Whittier Middle School	Education-K thru 12	2101 Edison Dr	San Antonio	TX	78201 -3499	21-22 Communities In Schools of San Antonio ACTX					1	1		2101 Edison Dr, San Antonio, TX 78201 -3499	(29.4754169, -98.53013469999999)	2101 Edison Dr, San Antonio, TX 78201, USA
181	Woodlake Elementary School	Education-K thru 12	5501 Lakebend East Dr	San Antonio	TX	78244-1616	21-22 Communities In Schools of San Antonio ACTX					3			5501 Lakebend East Dr, San Antonio, TX 78244-1616	(29.4789753, -98.354582)	5501 Lakebend E Dr, San Antonio, TX 78244, USA
182	Woodlake Hills Middle School	Education-K thru 12	6625 Woodlake Pkwy	San Antonio	TX	78244-1465	21-22 Communities In Schools of San Antonio ACTX					1			6625 Woodlake Pkwy, San Antonio, TX 78244-1465	(29.4900965, -98.3501738)	6625 Woodlake Pkwy, San Antonio, TX 78244, USA
183	Oliver Wendell Holmes Middle School	Education-K thru 12	2001 E Kiest Blvd	Dallas	TX	75216-3326	21-22 City Year Dallas ACTX	10							2001 E Kiest Blvd, Dallas, TX 75216-3326	(32.7153543, -96.7921518)	2001 E Kiest Blvd, Dallas, TX 75216, USA
184	E.B. Comstock Middle School	Education-K thru 12	7044 Hodde Street	Dallas	TX	75217-4830	21-22 City Year Dallas ACTX	10							7044 Hodde Street, Dallas, TX 75217-4830	(32.721585, -96.7022558)	7044 Hodde St, Dallas, TX 75217, USA
185	H. Grady Spruce High School	Education-K thru 12	9733 Old Seagoville Road	Dallas	TX	75217-7744	21-22 City Year Dallas ACTX	10							9733 Old Seagoville Road, Dallas, TX 75217-7744	(32.7103864, -96.65378969999999)	9733 Old Seagoville Rd, Dallas, TX 75217, USA
186	Franklin D. Roosevelt High School	Education-K thru 12	525 Bonnie View Road	Dallas	TX	75203-3556	21-22 City Year Dallas ACTX	8							525 Bonnie View Road, Dallas, TX 75203-3556	(32.7417005, -96.7953321)	525 Bonnie View Rd, Dallas, TX 75203, USA
187	Maple Lawn Elementary School	Education-K thru 12	3120 Inwood Road	Dallas	TX	75235-7626	21-22 City Year Dallas ACTX	10							3120 Inwood Road, Dallas, TX 75235-7626	(32.8262461, -96.8293619)	3120 Inwood Rd, Dallas, TX 75235, USA
188	Elisha M. Pease Elementary School	Education-K thru 12	2914 Cummings St	Dallas	TX	75216-7235	21-22 City Year Dallas ACTX	10							2914 Cummings St, Dallas, TX 75216-7235	(32.6981392, -96.77305790000001)	2914 Cummings St, Dallas, TX 75216, USA
189	Harrell Budd Elementary School	Education-K thru 12	2121 S. Marsalis Avenue	Dallas	TX	75216-2311	21-22 City Year Dallas ACTX	8							2121 S. Marsalis Avenue, Dallas, TX 75216-2311	(32.72169470000001, -96.81529669999999)	2121 S Marsalis Ave, Dallas, TX 75216, USA
190	John Neely Bryan Elementary School	Education-K thru 12	2001 Deer Path Drive	Dallas	TX	75216-4601	21-22 City Year Dallas ACTX	8							2001 Deer Path Drive, Dallas, TX 75216-4601	(32.7111422, -96.7953321)	2001 Deer Path Dr, Dallas, TX 75216, USA
191	William B. Miller Elementary School	Education-K thru 12	3111 Bonnie View Road	Dallas	TX	75216-3494	21-22 City Year Dallas ACTX	8							3111 Bonnie View Road, Dallas, TX 75216-3494	(32.7186265, -96.7795573)	3111 Bonnie View Rd, Dallas, TX 75216, USA
192	Cedar Crest Elementary School	Education-K thru 12	2020 Mouser Lane	Dallas	TX	75203-3942	21-22 City Year Dallas ACTX	8							2020 Mouser Lane, Dallas, TX 75203-3942	(32.7377887, -96.79298870000001)	2020 Mouser Ln, Dallas, TX 75203, USA
193	Lanier High School	Education-K thru 12	1514 West Durango Blvd	SAN ANTONIO	TX	78207-3992	21-22 City Year San Antonio ACTX	15							1514 West Durango Blvd, SAN ANTONIO, TX 78207-3992	(29.4220473, -98.5036803)	502W Durango Blvd, San Antonio, TX 78207, USA
194	Rhodes Middle School	Education-K thru 12	3000 Tampico St	SAN ANTONIO	TX	78207-6498	21-22 City Year San Antonio ACTX	12							3000 Tampico St, SAN ANTONIO, TX 78207-6498	(29.416063, -98.54077439999999)	3000 Tampico St, San Antonio, TX 78207, USA
195	Tafolla Middle School	Education-K thru 12	1303 West Cesar East Chavez Bl	SAN ANTONIO	TX	78207-3997	21-22 City Year San Antonio ACTX	13							1303 West Cesar East Chavez Bl, SAN ANTONIO, TX 78207-3997	(29.42279419999999, -98.51160449999999)	1303 W Cesar E. Chavez Blvd, San Antonio, TX 78207, USA
196	Antonio Margil Academy	Education-K thru 12	1000 Perez St	SAN ANTONIO	TX	78207-2334	21-22 City Year San Antonio ACTX	11							1000 Perez St, SAN ANTONIO, TX 78207-2334	(29.4328893, -98.5141781)	1000 Perez St, San Antonio, TX 78207, USA
197	Sam Houston High School	Education-K thru 12	4635 East Houston St	SAN ANTONIO	TX	78220-1792	21-22 City Year San Antonio ACTX	9							4635 East Houston St, SAN ANTONIO, TX 78220-1792	(29.4260283, -98.3999197)	4635 E Houston St, San Antonio, TX 78220, USA
198	Davis Middle School	Education-K thru 12	4702 East Houston St	SAN ANTONIO	TX	78220-3397	21-22 City Year San Antonio ACTX	10							4702 East Houston St, SAN ANTONIO, TX 78220-3397	(29.4224368, -98.4008405)	4702 E Houston St, San Antonio, TX 78220, USA
199	Carvajal Elementary School	Education-K thru 12	225 Arizona	SAN ANTONIO	TX	78207-6411	21-22 City Year San Antonio ACTX	9							225 Arizona, SAN ANTONIO, TX 78207-6411	(29.413541, -98.5415038)	225 Arizona, San Antonio, TX 78207, USA
200	Sarah King Elementary School	Education-K thru 12	1001 Ceralvo St 	SAN ANTONIO	TX	78207-7119	21-22 City Year San Antonio ACTX	11							1001 Ceralvo St, SAN ANTONIO, TX 78207-7119	(29.4079809, -98.53768529999999)	1001 Ceralvo St, San Antonio, TX 78207, USA
201	Austin Street Center	Nonprofit	2929 Hickory St	Dallas	TX	75226-2123	21-22 CitySquare ACTX					3			2929 Hickory St, Dallas, TX 75226-2123	(32.7789651, -96.77588039999999)	2929 Hickory St, Dallas, TX 75226, USA
202	BOOM	Nonprofit	4478 S Marsalis Ave	Dallas	TX	75216-6738	21-22 CitySquare ACTX						6		4478 S Marsalis Ave, Dallas, TX 75216-6738	(32.6901017, -96.8137175)	4478 S Marsalis Ave, Dallas, TX 75216, USA
